"";"rowid";"region"
"1";1;"Aruba"
"2";2;"Afghanistan"
"3";3;"Angola"
"4";4;"Anguilla"
"5";5;"Albania"
"6";6;"Finland"
"7";7;"Andorra"
"8";8;"United Arab Emirates"
"9";9;"Argentina"
"10";10;"Armenia"
"11";11;"American Samoa"
"12";12;"Antarctica"
"13";13;"Australia"
"14";14;"French Southern and Antarctic Lands"
"15";15;"Antigua"
"16";16;"Barbuda"
"17";17;"Austria"
"18";18;"Azerbaijan"
"19";19;"Burundi"
"20";20;"Belgium"
"21";21;"Benin"
"22";22;"Burkina Faso"
"23";23;"Bangladesh"
"24";24;"Bulgaria"
"25";25;"Bahrain"
"26";26;"Bahamas"
"27";27;"Bosnia and Herzegovina"
"28";28;"Saint Barthelemy"
"29";29;"Belarus"
"30";30;"Belize"
"31";31;"Bermuda"
"32";32;"Bolivia"
"33";33;"Brazil"
"34";34;"Barbados"
"35";35;"Brunei"
"36";36;"Bhutan"
"37";37;"Botswana"
"38";38;"Central African Republic"
"39";39;"Canada"
"40";40;"Switzerland"
"41";41;"Chile"
"42";42;"China"
"43";43;"Ivory Coast"
"44";44;"Cameroon"
"45";45;"Democratic Republic of the Congo"
"46";46;"Republic of Congo"
"47";47;"Cook Islands"
"48";48;"Colombia"
"49";49;"Comoros"
"50";50;"Cape Verde"
"51";51;"Costa Rica"
"52";52;"Cuba"
"53";53;"Curacao"
"54";54;"Cayman Islands"
"55";55;"Cyprus"
"56";56;"Czech Republic"
"57";57;"Germany"
"58";58;"Djibouti"
"59";59;"Dominica"
"60";60;"Denmark"
"61";61;"Dominican Republic"
"62";62;"Algeria"
"63";63;"Ecuador"
"64";64;"Egypt"
"65";65;"Eritrea"
"66";66;"Canary Islands"
"67";67;"Spain"
"68";68;"Estonia"
"69";69;"Ethiopia"
"70";70;"Fiji"
"71";71;"Falkland Islands"
"72";72;"Reunion"
"73";73;"Mayotte"
"74";74;"French Guiana"
"75";75;"Martinique"
"76";76;"Guadeloupe"
"77";77;"France"
"78";78;"Faroe Islands"
"79";79;"Micronesia"
"80";80;"Gabon"
"81";81;"UK"
"82";82;"Georgia"
"83";83;"Guernsey"
"84";84;"Ghana"
"85";85;"Guinea"
"86";86;"Gambia"
"87";87;"Guinea-Bissau"
"88";88;"Equatorial Guinea"
"89";89;"Greece"
"90";90;"Grenada"
"91";91;"Greenland"
"92";92;"Guatemala"
"93";93;"Guam"
"94";94;"Guyana"
"95";95;"Heard Island"
"96";96;"Honduras"
"97";97;"Croatia"
"98";98;"Haiti"
"99";99;"Hungary"
"100";100;"Indonesia"
"101";101;"Isle of Man"
"102";102;"India"
"103";103;"Cocos Islands"
"104";104;"Christmas Island"
"105";105;"Chagos Archipelago"
"106";106;"Ireland"
"107";107;"Iran"
"108";108;"Iraq"
"109";109;"Iceland"
"110";110;"Israel"
"111";111;"Italy"
"112";112;"San Marino"
"113";113;"Jamaica"
"114";114;"Jersey"
"115";115;"Jordan"
"116";116;"Japan"
"117";117;"Siachen Glacier"
"118";118;"Kazakhstan"
"119";119;"Kenya"
"120";120;"Kyrgyzstan"
"121";121;"Cambodia"
"122";122;"Kiribati"
"123";123;"Nevis"
"124";124;"Saint Kitts"
"125";125;"South Korea"
"126";126;"Kosovo"
"127";127;"Kuwait"
"128";128;"Laos"
"129";129;"Lebanon"
"130";130;"Liberia"
"131";131;"Libya"
"132";132;"Saint Lucia"
"133";133;"Liechtenstein"
"134";134;"Sri Lanka"
"135";135;"Lesotho"
"136";136;"Lithuania"
"137";137;"Luxembourg"
"138";138;"Latvia"
"139";139;"Saint Martin"
"140";140;"Morocco"
"141";141;"Monaco"
"142";142;"Moldova"
"143";143;"Madagascar"
"144";144;"Maldives"
"145";145;"Mexico"
"146";146;"Marshall Islands"
"147";147;"North Macedonia"
"148";148;"Mali"
"149";149;"Malta"
"150";150;"Myanmar"
"151";151;"Montenegro"
"152";152;"Mongolia"
"153";153;"Northern Mariana Islands"
"154";154;"Mozambique"
"155";155;"Mauritania"
"156";156;"Montserrat"
"157";157;"Mauritius"
"158";158;"Malawi"
"159";159;"Malaysia"
"160";160;"Namibia"
"161";161;"New Caledonia"
"162";162;"Niger"
"163";163;"Norfolk Island"
"164";164;"Nigeria"
"165";165;"Nicaragua"
"166";166;"Niue"
"167";167;"Bonaire"
"168";168;"Sint Eustatius"
"169";169;"Saba"
"170";170;"Netherlands"
"171";171;"Norway"
"172";172;"Nepal"
"173";173;"Nauru"
"174";174;"New Zealand"
"175";175;"Oman"
"176";176;"Pakistan"
"177";177;"Panama"
"178";178;"Pitcairn Islands"
"179";179;"Peru"
"180";180;"Philippines"
"181";181;"Palau"
"182";182;"Papua New Guinea"
"183";183;"Poland"
"184";184;"Puerto Rico"
"185";185;"North Korea"
"186";186;"Madeira Islands"
"187";187;"Azores"
"188";188;"Portugal"
"189";189;"Paraguay"
"190";190;"Palestine"
"191";191;"French Polynesia"
"192";192;"Qatar"
"193";193;"Romania"
"194";194;"Russia"
"195";195;"Rwanda"
"196";196;"Western Sahara"
"197";197;"Saudi Arabia"
"198";198;"Sudan"
"199";199;"South Sudan"
"200";200;"Senegal"
"201";201;"Singapore"
"202";202;"South Sandwich Islands"
"203";203;"South Georgia"
"204";204;"Saint Helena"
"205";205;"Ascension Island"
"206";206;"Solomon Islands"
"207";207;"Sierra Leone"
"208";208;"El Salvador"
"209";209;"Somalia"
"210";210;"Saint Pierre and Miquelon"
"211";211;"Serbia"
"212";212;"Sao Tome and Principe"
"213";213;"Suriname"
"214";214;"Slovakia"
"215";215;"Slovenia"
"216";216;"Sweden"
"217";217;"Swaziland"
"218";218;"Sint Maarten"
"219";219;"Seychelles"
"220";220;"Syria"
"221";221;"Turks and Caicos Islands"
"222";222;"Chad"
"223";223;"Togo"
"224";224;"Thailand"
"225";225;"Tajikistan"
"226";226;"Turkmenistan"
"227";227;"Timor-Leste"
"228";228;"Tonga"
"229";229;"Trinidad"
"230";230;"Tobago"
"231";231;"Tunisia"
"232";232;"Turkey"
"233";233;"Taiwan"
"234";234;"Tanzania"
"235";235;"Uganda"
"236";236;"Ukraine"
"237";237;"Uruguay"
"238";238;"USA"
"239";239;"Uzbekistan"
"240";240;"Vatican"
"241";241;"Grenadines"
"242";242;"Saint Vincent"
"243";243;"Venezuela"
"244";244;"Virgin Islands"
"245";245;"Vietnam"
"246";246;"Vanuatu"
"247";247;"Wallis and Futuna"
"248";248;"Samoa"
"249";249;"Yemen"
"250";250;"South Africa"
"251";251;"Zambia"
"252";252;"Zimbabwe"
